220408-00:02:38 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:02:38 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:02:38 [INFO] -- PollAck: LockerDriver is up!
220408-00:02:38 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:02:44 [INFO] -- Poll: TimesUp 74534 0
220408-00:02:44 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:02:44 [INFO] -- PollAck: LockerDriver is up!
220408-00:02:44 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:02:44 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:02:44 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:02:50 [INFO] -- Poll: TimesUp 43706 0
220408-00:02:50 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:02:50 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:02:50 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:02:50 [INFO] -- PollAck: LockerDriver is up!
220408-00:02:50 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:02:56 [INFO] -- Poll: TimesUp 43535 0
220408-00:02:56 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:02:56 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:02:56 [INFO] -- PollAck: LockerDriver is up!
220408-00:02:56 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:02:56 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:03:02 [INFO] -- Poll: TimesUp 60426 0
220408-00:03:02 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:03:02 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:03:02 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:03:02 [INFO] -- PollAck: LockerDriver is up!
220408-00:03:02 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:03:08 [INFO] -- Poll: TimesUp 18733 0
220408-00:03:08 [INFO] -- PollAck: LockerDriver is up!
220408-00:03:08 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:03:08 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:03:08 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:03:08 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:03:14 [INFO] -- Poll: TimesUp 68355 0
220408-00:03:14 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:03:14 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:03:14 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:03:14 [INFO] -- PollAck: LockerDriver is up!
220408-00:03:14 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:03:20 [INFO] -- Poll: TimesUp 35259 0
220408-00:03:20 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:03:20 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:03:20 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:03:20 [INFO] -- PollAck: LockerDriver is up!
220408-00:03:20 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:03:26 [INFO] -- Poll: TimesUp 16514 0
220408-00:03:26 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:03:26 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:03:26 [INFO] -- PollAck: LockerDriver is up!
220408-00:03:26 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:03:26 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:03:32 [INFO] -- Poll: TimesUp 45268 0
220408-00:03:32 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:03:32 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:03:32 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:03:32 [INFO] -- PollAck: LockerDriver is up!
220408-00:03:32 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:03:38 [INFO] -- Poll: TimesUp 46955 0
220408-00:03:38 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:03:38 [INFO] -- PollAck: LockerDriver is up!
220408-00:03:38 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:03:38 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:03:38 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:03:44 [INFO] -- Poll: TimesUp 82078 0
220408-00:03:44 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:03:44 [INFO] -- PollAck: LockerDriver is up!
220408-00:03:44 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:03:44 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:03:44 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:03:50 [INFO] -- Poll: TimesUp 15681 0
220408-00:03:50 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:03:50 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:03:50 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:03:50 [INFO] -- PollAck: LockerDriver is up!
220408-00:03:50 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:03:56 [INFO] -- Poll: TimesUp 24168 0
220408-00:03:56 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:03:56 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:03:56 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:03:56 [INFO] -- PollAck: LockerDriver is up!
220408-00:03:56 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:04:02 [INFO] -- Poll: TimesUp 74143 0
220408-00:04:02 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:04:02 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:04:02 [INFO] -- PollAck: LockerDriver is up!
220408-00:04:02 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:04:02 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:04:08 [INFO] -- Poll: TimesUp 59521 0
220408-00:04:08 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:04:08 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:04:08 [INFO] -- PollAck: LockerDriver is up!
220408-00:04:08 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:04:08 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:04:14 [INFO] -- Poll: TimesUp 84410 0
220408-00:04:14 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:04:14 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:04:14 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:04:14 [INFO] -- PollAck: LockerDriver is up!
220408-00:04:14 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:04:20 [INFO] -- Poll: TimesUp 76642 0
220408-00:04:20 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:04:20 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:04:20 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:04:20 [INFO] -- PollAck: LockerDriver is up!
220408-00:04:20 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:04:26 [INFO] -- Poll: TimesUp 34676 0
220408-00:04:26 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:04:26 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:04:26 [INFO] -- PollAck: LockerDriver is up!
220408-00:04:26 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:04:26 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:04:32 [INFO] -- Poll: TimesUp 93607 0
220408-00:04:32 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:04:32 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:04:32 [INFO] -- PollAck: LockerDriver is up!
220408-00:04:32 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:04:32 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:04:38 [INFO] -- Poll: TimesUp 91576 0
220408-00:04:38 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:04:38 [INFO] -- PollAck: LockerDriver is up!
220408-00:04:38 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:04:38 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:04:38 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:04:44 [INFO] -- Poll: TimesUp 29809 0
220408-00:04:44 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:04:44 [INFO] -- PollAck: LockerDriver is up!
220408-00:04:44 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:04:44 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:04:44 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:04:50 [INFO] -- Poll: TimesUp 38182 0
220408-00:04:50 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:04:50 [INFO] -- PollAck: LockerDriver is up!
220408-00:04:50 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:04:50 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:04:50 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:04:56 [INFO] -- Poll: TimesUp 21607 0
220408-00:04:56 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:04:56 [INFO] -- PollAck: LockerDriver is up!
220408-00:04:56 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:04:56 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:04:56 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:05:02 [INFO] -- Poll: TimesUp 75091 0
220408-00:05:02 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:05:02 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:05:02 [INFO] -- PollAck: LockerDriver is up!
220408-00:05:02 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:05:02 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:05:08 [INFO] -- Poll: TimesUp 59603 0
